"","perCapitaFFL","pc.18to24","pc.18to24.HS","pc.18to24.BA","pc.25to34","pc.25to34.HS","pc.25to34.BA","pc.35to44","pc.35to44.HS","pc.35to44.BA","pc.45to64","pc.45to64.HS","pc.45to64.BA","pc.65plus","pc.65plus.HS","pc.65plus.BA"
"Kansas",38.5009310506569,10421.6400542054,3090.35507707826,929.982616150638,13227.9293403116,11905.3393841377,4709.94636224116,11945.7629404404,10773.4798076596,4199.37104386696,25138.2227602856,23044.5233649876,7928.03987723624,14657.4783063115,12924.3570332344,3772.22306509638
"New Mexico",33.200946012723,10005.3933802746,2988.61525682489,465.743863467684,13095.3388119566,11115.1703000681,2840.56168065805,11857.3609546187,9985.68494968101,2915.59792494261,25373.6910717925,21886.6447983203,7005.09727312232,15891.4363504217,13058.4696259436,4758.19197741895
"Nebraska",35.9530656062173,10190.1239066093,2667.70164196719,1274.33974120337,13341.2540626741,12277.1832830367,4631.09203095421,12274.2790156118,11010.7114663118,4432.49294395028,24754.6026038078,22924.7557115059,7245.30234744015,14716.2398713674,13032.1343989355,3349.7292430687
"West Virginia",48.8594664123936,8926.08740758685,3323.85868304715,711.712264665928,11834.2057507307,10729.294593909,3099.09600647021,12516.9671921449,11451.8158901455,2688.5700737567,28009.4054869686,24464.5319825122,5181.59987789596,18270.0335079979,14093.0760820031,2849.67352922485
"Idaho",56.7490919749199,9484.77397527147,3266.28058091949,495.756364243587,13117.5173702285,11848.9038181831,3293.6881514592,12373.035790778,11114.4656310275,3673.46148540562,24285.8301045239,22116.6388759145,6185.70111348549,14718.0468869114,12968.8630637913,3600.9796542653
"Hawaii",7.30340709774502,9436.36385324564,3621.42556925307,764.898183147541,15184.0113054211,14473.5632635562,4773.01799029861,12474.2045964059,11515.0120302535,4310.40229251935,24880.6271870397,22969.8201671816,7825.80445522844,16640.4824170249,13906.1871779741,4786.20951937225
"New Hampshire",37.215452560131,9778.3568439025,3109.74046526944,1194.63713930642,11676.8450151905,11066.4448305442,4757.27213743815,11759.4696983936,11056.8967552332,4660.66365889764,30608.5732694489,28775.042082954,10601.5964081193,16416.4494542185,14703.1337986078,5114.68591719037
"Maine",38.866553659502,8441.74258134737,2621.30364894434,808.979332101248,11430.5658041315,10637.7585367817,3726.87112669647,11483.8207894525,10943.7490456601,3875.57890350392,30541.5836437994,28307.5821409256,8449.56534755271,18847.4507936723,16426.9816232691,5727.84445933779
"Rhode Island",8.57450813718456,10831.68262431,3090.25991680616,1409.89970699323,13548.6028417773,12337.6408076112,4914.61310885585,11716.6710717151,10558.001225835,4106.35776382688,27742.2374046402,24770.0138403781,9373.75367916279,16154.8758202627,12966.6627826454,4229.03599540359
"Montana",103.810958063155,9727.31580033583,3454.213025629,581.548010654285,12465.8817738668,11699.7537964853,4103.77948071503,11494.6326471093,10944.7684417672,4193.21113913454,27140.3282519744,25586.1746213688,7624.07310335606,17337.0488327861,15791.5186231982,5024.54768218915
"Delaware",12.542911110761,9437.58765184159,2895.95329189599,1036.46316610103,13171.3972180206,11589.8508170952,4329.73616530872,11728.6108321788,10436.3419894161,4140.76832797359,27194.5267118325,24725.9754511289,8454.0863235587,17035.0692105297,14713.328164258,4464.47108071808
"South Dakota",59.6411440315334,9987.07337172857,3012.2890389419,966.757934024075,13045.8702977787,11997.9858238365,4083.60229811905,11463.5530860139,10568.2471189005,3628.08143892372,25448.0900877589,23810.9891493253,6712.17212813797,15678.9860114999,13426.3257953257,3629.71329461173
"North Dakota",54.4449604548397,12366.8963512523,3249.05692786407,1614.61877423745,15075.9412553595,14295.8504826019,5370.52329768047,11434.4606155899,11059.0815699591,3687.06521236465,24314.4146346297,22967.2253529501,7076.70760469587,14184.9940872185,11803.1010722284,2813.42696889018
"Alaska",81.8176181503018,11185.7114390634,4258.58976913661,649.714182692633,16100.9286859724,14955.3550248133,4563.85919109025,12424.4112515911,11681.7064723353,3635.85099273562,25495.2833705431,23862.1190740522,7799.14573361583,9625.47562792375,8454.55321813886,2899.65284414315
"Vermont",49.6856091050079,10737.7876592428,2829.47445087592,1558.56684683303,11297.6131150893,10343.9133157,4395.2287857298,11156.7383498805,10532.0657798904,4293.96506561378,30025.4916241806,28039.8282669529,10771.1695480508,17582.8318063914,15321.967518943,6426.09345651091
"Wyoming",104.725127141827,9864.37759459897,3368.31158203408,457.587097544135,14054.9479588444,12883.020347623,3747.4746613702,12298.9318989694,11641.3635549948,3466.85306578241,25849.2383493449,23797.768325221,6282.78678043832,14073.1900674276,12767.089190272,3898.35565292257
