"","perCapitaFFL","POPESTIMATE2016","NPOPCHG_2016","BIRTHS2016","DEATHS2016","NATURALINC2016","INTERNATIONALMIG2016","DOMESTICMIG2016","NETMIG2016","RESIDUAL2016","atf.Region","POP_ST","AREA_ST","POP_URBAN","POPPCT_URBAN","AREA_URBAN","AREAPCT_URBAN","POPDEN_URBAN","POP_UA","POPPCT_UA","AREA_UA","AREAPCT_UA","POPDEN_UA","POP_UC","POPPCT_UC","AREA_UC","AREAPCT_UC","POPDEN_UC","POP_RURAL","POPPCT_RURAL","AREA_RURAL","AREAPCT_RURAL","POPDEN_RURAL"
"Colorado",31.1371294099528,5540545,91726,67453,37121,30332,10557,50216,60773,621,5,5029196,268431246426,4332761,86.15,3956737225,1.47,2836.1,3865471,76.86,3258048896,1.21,3072.9,467290,9.29,698688329,0.26,1732.2,696435,13.85,264474509201,98.53,6.8
"Minnesota",26.2547572877445,5519952,37517,69190,41938,27252,13644,-1762,11882,-1617,3,5303925,206232309199,3886311,73.27,4416575848,2.14,2279,3076032,58,3182448693,1.54,2503.4,810279,15.28,1234127155,0.6,1700.5,1417614,26.73,201815733351,97.86,18.2
"South Carolina",22.4310953503299,4961119,66285,57926,47514,10412,5760,47084,52844,3029,1,4625364,77856841944,3067809,66.33,6168413106,7.92,1288.1,2580045,55.78,5037540904,6.47,1326.5,487764,10.55,1130872202,1.45,1117.1,1557555,33.67,71688428838,92.08,56.3
"Alabama",25.2931822699265,4863300,9425,58556,52405,6151,4738,-864,3874,-600,1,4779736,131170787086,2821804,59.04,5716365701,4.36,1278.5,2325304,48.65,4415733067,3.37,1363.9,496500,10.39,1300632634,0.99,988.7,1957932,40.96,125454421385,95.64,40.4
"Louisiana",26.0359595636824,4681666,12706,63570,45030,18540,7223,-12243,-5020,-814,5,4533372,111897594452,3317805,73.19,5097451640,4.56,1685.8,2780406,61.33,4010132099,3.58,1795.8,537399,11.85,1087319541,0.97,1280.1,1215567,26.81,106800142812,95.44,29.5
"Kentucky",31.8366376123307,4436974,12363,55198,44883,10315,6734,-3429,3305,-1257,4,4339367,102269141641,2533343,58.38,3653655859,3.57,1795.8,1778528,40.99,2207361288,2.16,2086.8,754815,17.39,1446294571,1.41,1351.7,1806024,41.62,98615485782,96.43,47.4
"Oregon",35.3205251134023,4093465,68831,46198,35371,10827,6934,50038,56972,1032,9,3831074,248607802255,3104382,81.03,2866510400,1.15,2804.9,2393393,62.47,1933314021,0.78,3206.3,710989,18.56,933196379,0.38,1973.3,726692,18.97,245741291855,98.85,7.7
"Oklahoma",39.0036839833339,3923561,16147,53175,39588,13587,6716,-3822,2894,-334,5,3751351,177660021556,2485029,66.24,3384365635,1.9,1901.7,1717572,45.79,2169231644,1.22,2050.7,767457,20.46,1215133991,0.68,1635.8,1266322,33.76,174275655921,98.1,18.8
"Connecticut",15.08245229257,3576452,-8278,35848,30638,5210,17058,-29880,-12822,-666,6,3574097,12541641427,3144942,87.99,4730500209,37.72,1721.9,3031980,84.83,4500564038,35.88,1744.8,112962,3.16,229936171,1.83,1272.4,429155,12.01,7811141218,62.28,142.3
"Iowa",41.051335276958,3134693,12696,39349,28739,10610,6336,-3392,2944,-858,5,3046355,144669296857,1950256,64.02,2468980575,1.71,2045.8,1268964,41.66,1507132351,1.04,2180.7,681292,22.36,961848224,0.66,1834.5,1096099,35.98,142200316282,98.29,20
"Utah",30.3294281156229,3051217,60585,51444,16447,34997,5634,19778,25412,176,9,2763885,212818329473,2503595,90.58,2369045186,1.11,2737.1,2243441,81.17,1950862546,0.92,2978.4,260154,9.41,418182640,0.2,1611.2,260290,9.42,210449284287,98.89,3.2
"Mississippi",31.4069160795157,2988726,-664,37880,31006,6874,2223,-9690,-7467,-71,1,2967297,121530715928,1464224,49.35,2864191371,2.36,1324,819522,27.62,1581129734,1.3,1342.4,644702,21.73,1283061637,1.06,1301.4,1503073,50.65,118666524557,97.64,32.8
"Arkansas",42.5304950146931,2988248,10395,37936,30581,7355,3335,195,3530,-490,5,2915918,134771261408,1637589,56.16,2841198188,2.11,1492.8,1152837,39.54,1881196989,1.4,1587.2,484752,16.62,960001199,0.71,1307.8,1278329,43.84,131930063220,97.89,25.1
"Nevada",21.1220322864379,2940058,56300,36462,23771,12691,7392,34575,41967,1642,9,2700551,284331937541,2543797,94.2,1987575459,0.7,3314.8,2336222,86.51,1565145978,0.55,3866,207575,7.69,422429481,0.15,1272.7,156754,5.8,282344362082,99.3,1.4
"Kansas",38.5009310506569,2907289,568,38702,25128,13574,5851,-18595,-12744,-262,5,2853118,211754095913,2116961,74.2,2519183616,1.19,2176.5,1431424,50.17,1623806507,0.77,2283.1,685537,24.03,895377109,0.42,1983,736157,25.8,209234912297,98.81,9.1
"New Mexico",33.200946012723,2081015,687,25491,17799,7692,2637,-9748,-7111,106,5,2059179,314160748240,1594361,77.43,2141181968,0.68,1928.5,1106721,53.75,1267853668,0.4,2260.8,487640,23.68,873328300,0.28,1446.2,464818,22.57,312019566272,99.32,3.9
"Nebraska",35.9530656062173,1907116,13351,26553,15355,11198,4187,-2144,2043,110,5,1826341,198973681461,1335686,73.13,1357102386,0.68,2549.1,982197,53.78,944821650,0.47,2692.4,353489,19.36,412280736,0.21,2220.7,490655,26.87,197616579075,99.32,6.4
"West Virginia",48.8594664123936,1831102,-9951,19799,22479,-2680,1076,-7659,-6583,-688,4,1852994,62258675601,902810,48.72,1658489502,2.66,1409.9,615254,33.2,1097015856,1.76,1452.6,287556,15.52,561473646,0.9,1326.4,950184,51.28,60600186099,97.34,40.6
"Idaho",56.7490919749199,1683140,30312,22792,12496,10296,1726,17143,18869,1147,9,1567582,214044680857,1106370,70.58,1292606730,0.6,2216.8,791843,50.51,886257981,0.41,2314.1,314527,20.06,406348749,0.19,2004.7,461212,29.42,212752074127,99.4,5.6
"Hawaii",7.30340709774502,1428557,3400,18507,12237,6270,7438,-10021,-2583,-287,9,1360301,16634529975,1250489,91.93,1018212915,6.12,3180.8,972075,71.46,585035739,3.52,4303.4,278414,20.47,433177176,2.6,1664.7,109812,8.07,15616317060,93.88,18.2
"New Hampshire",37.215452560131,1334795,4684,12274,11572,702,2175,2187,4362,-380,6,1316470,23187259277,793872,60.3,1668054122,7.19,1232.6,623168,47.34,1344142228,5.8,1200.8,170704,12.97,323911894,1.4,1364.9,522598,39.7,21519205155,92.81,62.9
"Maine",38.866553659502,1331479,2026,12542,13842,-1300,1785,2169,3954,-628,6,1328361,79882800680,513542,38.66,931423305,1.17,1428,348137,26.21,616415489,0.77,1462.8,165405,12.45,315007816,0.39,1360,814819,61.34,78951377375,98.83,26.7
"Rhode Island",8.57450813718456,1056426,819,10770,9849,921,4203,-3784,419,-521,6,1052567,2677566454,955043,90.73,1037649938,38.75,2383.8,952101,90.46,1026796770,38.35,2401.6,2942,0.28,10853168,0.41,702.1,97524,9.27,1639916516,61.25,154
"Montana",103.810958063155,1042520,10447,12431,9597,2834,569,6853,7422,191,9,989415,376961878670,553014,55.89,769702271,0.2,1860.8,262137,26.49,334839591,0.09,2027.6,290877,29.4,434862680,0.12,1732.4,436401,44.11,376192176399,99.8,3
"Delaware",12.542911110761,952065,7989,10922,8945,1977,2556,3027,5583,429,8,897934,5046703785,747949,83.3,1053792304,20.88,1838.3,616982,68.71,740579379,14.67,2157.7,130967,14.59,313212925,6.21,1083,149985,16.7,3992911481,79.12,97.3
"South Dakota",59.6411440315334,865454,7535,12114,7296,4818,1632,941,2573,144,3,814180,196349580075,461247,56.65,586090288,0.3,2038.3,243587,29.92,290234955,0.15,2173.7,217660,26.73,295855333,0.15,1905.4,352933,43.35,195763489787,99.7,4.7
"North Dakota",54.4449604548397,757952,1117,11824,6172,5652,1575,-6259,-4684,149,3,672591,178711239147,402872,59.9,475973352,0.27,2192.2,269056,40,290454982,0.16,2399.2,133816,19.9,185518370,0.1,1868.2,269719,40.1,178235265795,99.73,3.9
"Alaska",81.8176181503018,741894,4185,11255,4511,6744,2030,-4587,-2557,-2,9,710231,1477953211577,468893,66.02,673703920,0.05,1802.6,315756,44.46,362866427,0.02,2253.7,153137,21.56,310837493,0.02,1276,241338,33.98,1477279507657,99.95,0.4
"Vermont",49.6856091050079,624594,-1494,6035,5547,488,955,-2865,-1910,-72,6,625741,23871030489,243385,38.9,404380140,1.69,1558.8,108740,17.38,159947183,0.67,1760.8,134645,21.52,244432957,1.02,1426.7,382356,61.1,23466650349,98.31,42.2
"Wyoming",104.725127141827,585501,-1054,7590,4838,2752,524,-4347,-3823,17,5,563626,251470069067,364993,64.76,503865599,0.2,1876.2,138136,24.51,169577798,0.07,2109.8,226857,40.25,334287801,0.13,1757.6,198633,35.24,250966203468,99.8,2
