"","perCapitaFFL","workforcePC","agriculturePC","constructionPC","manufacturingPC","wholesalePC","retailPC","transportationPC","informationPC","financePC","pro.scientificPC","educationPC","artsPC","otherPC","publicAdminPC"
"Ohio",21.2610128272386,47304.6051344712,513.145524937764,2372.05398665586,7341.00295646135,1288.19337032285,5549.81477954932,2393.81168090898,777.253773990551,3078.17518002876,4404.52422169927,11272.7691039018,4426.38531885578,2107.00649456402,1780.46874259484
"Oklahoma",39.0036839833339,44874.8200216307,2250.59335918846,3275.69589503441,4281.42500385165,1188.02358797916,5285.0043532628,2353.26996320328,780.720957646157,2499.35123332209,3799.87889688679,10001.83241397,4249.81842210731,2322.81503828363,2586.39089689498
"Oregon",35.3205251134023,46743.5051236957,1627.77534553453,2676.93907073289,5295.33865688159,1324.79127294556,5594.37205967052,1920.02552281773,865.842707684724,2520.77580222202,5286.76644882491,10775.3649151699,4586.52886200335,2189.11831485795,2079.86614435002
"Pennsylvania",19.9679652121321,47762.0063440126,700.755727997959,2707.74389801549,5793.58631834635,1362.23661465877,5483.44484136216,2583.46216481925,778.476761551681,2984.58306128626,4927.7417966864,12218.3921955637,4112.70284705076,2215.15108306004,1893.72903361376
"Rhode Island",8.57450813718456,49732.0499011469,206.705715289876,2595.2840403673,5684.88083159736,1539.01972988053,5835.69453404534,1839.88927697524,786.372201017992,3218.14842076644,4632.31107789168,13620.6940651208,5530.183107918,2194.18779905779,2048.67910121854
"South Carolina",22.4310953503299,44244.6464987372,450.209343156479,2837.7468980562,6163.39593947415,1173.01220020945,5376.93413096338,2051.42809745948,836.800594259172,2594.34742832954,4398.984725529,9617.3435095041,4531.53263215872,2287.39115565513,1925.51984398245
"South Dakota",59.6411440315334,50919.9586441144,3391.11268080087,3751.16998224774,5294.43921862087,1472.40007506536,5359.59688502061,2328.42494454605,766.62249000197,3541.47652633873,3326.30469776284,12357.1106363188,4861.88090017822,2242.75252092564,2226.6670862867
"Tennessee",23.0873333920697,45470.6373986817,437.191132266352,2711.10662290055,5926.84883949431,1234.77344240898,5614.41783056884,2934.50123850351,829.530484653959,2593.30625850637,4515.67052652775,10196.2591371476,4340.93357205761,2323.16450383439,1812.93380981147
"Texas",22.7174333169338,46278.0461675052,1583.76856509121,3765.3102178997,4018.98836510389,1405.84424023955,5409.29831413385,2652.34624487767,834.837819046762,3033.01840757,5267.07259982532,9816.6184396375,4222.0023384194,2385.68214477777,1883.25847088254
"Utah",30.3294281156229,47292.244582416,932.244421914833,3193.90683975829,5351.17660748631,1333.16302373545,5824.05324359533,2115.07132940462,1020.4866396133,3190.12837420318,5607.74445000254,9848.98844123918,4360.28237509664,2116.40883933563,2398.58999703073
"Vermont",49.6856091050079,52363.4057832126,1274.26176511928,3690.37579381812,5748.39319712245,1129.23422905406,5998.19833633611,1779.30259005124,1211.81048031587,2488.30835281941,4502.56194017454,14805.4267131777,4974.06115434252,2241.69765272613,2519.77357815515
"Virginia",20.3880069540341,48778.6980882302,496.726236607997,3157.55306756894,3501.22442706601,957.348874890694,5269.50003627091,2032.44973730181,991.444725940704,3134.76274581908,7174.5773303582,10679.8531046047,4456.3743406552,2662.2967887875,4264.58667235847
"Washington",16.4962952799122,47455.8153370883,1264.64151591625,3072.99006045845,4888.74053983847,1361.88618058766,5565.57066822712,2580.04913208823,1043.35159609457,2573.63877720036,5911.52034344978,10128.8914275818,4405.85507011587,2237.32558318169,2421.35444234801
"West Virginia",48.8594664123936,40109.546004379,1675.12830972275,2533.06124266928,2986.11718402458,899.21365653243,4893.93841459208,2120.30832355179,587.978727391335,1588.9276408664,3210.01079273655,11487.6106228338,3762.62932137206,1666.11173062372,2698.51003746226
"Wisconsin",27.2191754050675,51312.6028213779,1221.79840083663,2894.61087250088,9463.02556688398,1341.04475968773,5825.97694720653,2247.40724122561,787.93097858472,3092.63819305878,4206.66756705354,11860.1235702963,4543.46311329392,2095.96540572629,1731.95020502295
"Wyoming",104.725127141827,50349.583585512,6497.42990853373,3660.86726734918,2076.70209954736,924.380492877906,5974.54629148162,2891.97091491846,729.513856330608,1921.55893309238,3236.69562104151,11176.9569776065,5713.01923945751,2347.264962365,3198.67702091023
