"NAME","OtherWeapon","DestructiveDevice","MachineGun","Silencer","Rifle","Shotgun","Total","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL","pop2015.100k","pop2016.100k"
"Alabama",24.0220442430017,1592.19180551621,399.474646545286,635.554067626381,77.5668924313049,46.0250830522006,2774.83453941439,4853875,4863300,25.2931822699265,48.53875,48.633
"Alaska",43.6486473663735,630.465400313674,223.936538662264,571.092395510967,180.694555712347,171.883493355781,1821.72103092141,737709,741894,81.8176181503018,7.37709,7.41894
"Arkansas",20.2830697149926,1538.45740538569,174.253060846187,482.562436762325,82.74417843997,35.5961157249871,2333.89626687415,2977853,2988248,42.5304950146931,29.77853,29.88248
"Arizona",17.3815724529212,1265.97986231154,239.352320073223,424.521071672951,151.828402076108,31.4335103515698,2130.49673893832,6817565,6931071,26.1611805736805,68.17565,69.31071
"California",9.96052207086537,657.589358756771,75.6938129360613,30.0097912650017,24.2909539277129,34.4232975688017,831.967736525214,38993940,39250017,6.49235387592316,389.9394,392.50017
"Colorado",17.6368493796546,818.489290982138,130.505344369119,342.991756562294,89.1752873420828,30.4653173467498,1429.26384598204,5448819,5540545,31.1371294099528,54.48819,55.40545
"Connecticut",19.7504414558419,340.89038783953,1058.35028021636,232.988258529931,94.1214540565119,27.4218699874189,1773.5226920856,3584730,3576452,15.08245229257,35.8473,35.76452
"Delaware",3.38955762036107,291.078260648507,61.7535028959533,34.3192709061559,19.4899563170762,56.8810138166843,466.911562204738,944076,952065,12.542911110761,9.44076,9.52065
"Florida",17.0314381182355,749.185696713752,169.785853375322,301.384337814426,90.931480370823,41.0473465088565,1369.36615290142,20244914,20612439,15.5072219578996,202.44914,206.12439
"Georgia",18.9128809366984,651.342363539495,279.398842951319,483.920717673729,79.7301958409702,109.565290029863,1622.87029097208,10199398,10310371,19.256500727924,101.99398,103.10371
"Hawaii",2.38570206650916,481.560978895659,28.768760213787,10.0339822209062,4.13989476247178,4.3503978859873,531.23971604532,1425157,1428557,7.30340709774502,14.25157,14.28557
"Iowa",28.0589635416049,493.209955038394,111.947577143732,31.486257033559,16.6880365355892,30.9097029881835,712.300492281062,3121997,3134693,41.051335276958,31.21997,31.34693
"Idaho",38.7820148254991,1038.94658125346,244.3690450549,1099.69095392866,147.444259172763,27.7705847190391,2597.00343895433,1652828,1683140,56.7490919749199,16.52828,16.8314
"Illinois",7.62517654152991,791.117907738791,238.047263165249,13.3732667229896,17.742749909709,13.3654779829064,1081.27184206117,12839047,12801539,15.8620251309888,128.39047,128.01539
"Indiana",24.4224506288441,625.199613837957,285.508277320481,429.396585514568,71.2107244651559,133.317848138631,1569.05549990564,6612768,6633053,22.1127435586599,66.12768,66.33053
