"NAME","OccupiedHousingUnits","a.LessThan5000","b.5000to9999","c.10000to14999","d.15000to19999","e.20000to24999","f.25000to34999","g.35000to49999","h.50000to74999","i.75000to99999","j.100000to149999","k.150000.or.more","MedianHouseholdIncome","POPESTIMATE2015","POPESTIMATE2016","perCapitaFFL"
"South Carolina",1857768,1518.13115623533,1556.08954256671,2353.11350701576,2201.30039139223,2315.15512068438,4250.80809686294,5541.22979451397,7097.31933708069,4440.55916911585,4061.03659490802,2580.84339530207,47238,4894834,4961119,22.4310953503299
"South Dakota",339437,1028.6518890478,1384.74611239523,2176.07955995846,1819.98533661103,2176.07955995846,4193.86911818016,5895.1952340489,7794.32557152831,5618.24601156986,4747.76756313825,2769.49222479045,53017,857919,865454,59.6411440315334
"Tennessee",2530260,1419.53305627731,1649.73580209175,2301.95164377679,2263.58957376556,2378.69094667278,4373.71570461267,5716.52462086751,7097.71077000711,4258.61433170545,4143.52812167175,2762.34197253215,47275,6595056,6651194,23.0873333920697
"Texas",9421412,1099.12128263883,1167.8170463709,1614.33404209221,1717.37586484459,1820.41768759698,3469.10143440094,4636.91848077184,6182.56040482341,4121.70572131846,4636.91848077184,3915.61843012225,55653,27429639,27862596,22.7174333169338
"Utah",930980,715.969066070316,684.838522426029,1089.53558980175,1089.53558980175,1307.44939531176,2832.81259613353,4233.65362237815,6474.98588927023,4669.48123339816,4793.96997022703,3237.47622576098,62912,2990632,3051217,30.3294281156229
"Vermont",254865,773.373711043815,1221.07435376497,2157.36445994812,2198.09355873296,2279.55175630263,3745.00070277661,5332.63694560509,7856.40357266071,5780.33758832624,5739.60848954141,3622.8134064221,56990,626088,624594,49.6856091050079
"Virginia",3106895,1039.6426114243,1076.76203426388,1410.94439770988,1448.06382054946,1559.45794169813,3081.79646055667,4455.60948455032,6460.63195996648,4752.64852340346,5940.81662969265,5866.5538822602,66262,8367587,8411808,20.3880069540341
"Washington",2728573,1028.88290837382,1143.2078868314,1448.05587483189,1448.05587483189,1600.49383474692,3315.29868203662,4877.69350124087,6935.4732839033,5258.76745215627,6020.90138807227,5068.23047669857,64129,7160290,7288000,16.4962952799122
"West Virginia",734536,1595.88018378613,2274.13333565085,2633.22131410665,2872.59519416334,2673.08980241199,4707.90357474771,6223.99246518161,6902.24561704633,4308.89279124501,3790.22222608475,1915.04535719504,42019,1841053,1831102,48.8594664123936
"Wisconsin",2319538,1005.3588044573,1166.2148261817,1890.08426130105,1930.28959805239,2211.79630474986,4142.10324016178,5630.04744715183,8002.71711098563,5630.04744715183,5469.19142542742,3176.94977245582,55638,5767891,5778708,27.2191754050675
"Wyoming",228937,858.572512381618,975.697078705322,1756.35703386724,1834.44007808304,1873.31111319484,3707.92167827399,5230.02957949382,7337.76031233218,5620.27431357673,6674.22492349396,3161.34036876337,60214,586555,585501,104.725127141827
