"NAME","total.workers","total.drove.alone","total.carpool","total.public.transportation","agriculture.total","agriculture.drove.alone","agriculture.carpool","agriculture.public","construction.total","construction.drove.alone","construction.carpool","construction.public","manufacturing.total","manufacturing.drove.alone","manufacturing.carpool","manufacturing.public","wholesale.total","wholesale.drove.alone","wholesale.carpool","wholesale.public","retail.total","retail.drove.alone","retail.carpool","retail.public","transportation.total","transportation.drove.alone","transportation.carpool","transportation.public","info.finance.total","info.finance.drove.alone","info.finance.carpool","info.finance.public","science.total","science.drove.alone","science.carpool","science.public","education.total","education.drove.alone","education.carpool","education.public","arts.total","arts.drove.alone","arts.carpool","arts.public","other.total","other.drove.alone","other.carpool","other.public","public.admin.total","public.admin.drove.alone","public.admin.carpool","public.admin.public","armed.forces.total","armed.forces.drove.alone","armed.forces.carpool","armed.forces.public"
"North Carolina",4524800,3683161,426232,50306,1.2,1,2.3,0,7.1,6.2,15.6,3,12.4,12.9,12.8,5.5,2.6,2.6,2.3,1,11.6,12,11,11.4,4.2,4.4,2.8,2.4,8.1,8.1,4.4,8.9,10.6,9.7,9.4,15.8,22.4,23.5,18.5,24.7,9.4,8.8,12.9,21.2,4.7,4.6,4.4,3.4,4.2,4.7,2.2,2.5,1.7,1.5,1.6,0.2
"North Dakota",404165,331218,34772,1497,9.4,8.1,8.6,4.3,7.8,8.2,9.7,6.1,6.7,7,7.8,4.6,4,4.1,4,9.5,11.5,12.3,7.1,1.9,5.6,5.7,4.7,10,6.3,6.3,4,0,6.8,6.7,8.6,8.6,23.3,23.3,22.7,29.7,8,8,8.8,10.4,4.7,4.4,6.2,3.1,4.3,4.4,4.4,11.4,1.6,1.5,3.5,0.4
"Ohio",5381435,4478867,418445,95698,1.1,0.9,1.4,0.2,5,4.8,8.1,2.3,15.6,16.1,16.9,8.4,2.7,2.8,2.2,1.3,11.7,11.8,12.2,13.4,5,5.2,4.3,3.2,8.2,8.2,6.1,8,9.3,8.8,9.1,10.4,23.7,24.4,20.2,24.1,9.3,8.5,12.1,21,4.4,4.3,4.4,3.1,3.8,4.1,2.8,4.5,0.1,0.1,0.2,0
"Oklahoma",1739806,1435337,177721,6912,5,4.9,4.1,1.1,7.1,6.4,13.2,5.2,9.5,9.7,10.2,11.5,2.6,2.7,2.1,2.7,11.7,11.8,11.8,15,5.2,5.5,3.6,0.7,7.3,7.6,4.6,6,8.4,7.9,8.8,6.1,21.9,22.5,20,26.3,9.4,8.9,11.8,18.2,5.1,5,4.9,3.7,5.7,6.2,4.4,2.6,1.1,0.8,0.4,0.8
"Oregon",1839706,1309993,188357,89224,3.4,2.9,6.6,1,5.7,5.8,8.9,1.6,11.4,12.4,13.4,4.4,2.9,3.2,2.7,1,12.1,12.5,11.3,12.2,4.1,4.5,3.3,3.5,7.3,7,5.5,9.3,11.3,9.6,10.7,13.8,22.8,23.7,19,24.4,9.8,8.7,10.5,20,4.6,4.7,3.7,4.4,4.5,4.8,4.4,4.3,0.1,0.1,0,0
"Pennsylvania",5977629,4563666,511031,338631,1.5,1.2,2.1,0.4,5.6,5.8,8.8,2.5,12.2,13.1,13.3,5.2,2.9,3.1,2.6,1.4,11.5,11.6,11.7,11.4,5.4,5.8,4.9,4.4,7.9,7.9,5.5,10.7,10.4,9.3,10.3,14.3,25.5,26.1,21.8,27.9,8.5,7.6,10.6,12.7,4.6,4.5,4.4,3.6,4,4.1,4,5.6,0.1,0.1,0.1,0
"Rhode Island",509823,402631,49275,14844,0.4,0.3,0.9,0,5.2,5.2,8.3,3,11.4,11.8,14.4,6,3.1,3.2,3,0.8,11.7,11.6,12.7,17.5,3.7,3.9,3.5,1,8.1,8.7,3.9,5.4,9.3,8.7,8.1,15.8,27.1,27.3,26.6,20.7,11,10,10.4,24.8,4.4,4.3,5.3,1.9,4.1,4.7,2.5,3.1,0.5,0.3,0.3,0
"South Carolina",2145374,1780011,199079,10895,1,0.9,1.5,3.8,6.3,5.9,11.5,4,13.8,14.3,15.1,9.5,2.6,2.7,1.9,2.6,12,12.4,9.9,16.1,4.6,4.8,4,1.3,7.7,7.8,4.4,10.8,9.9,9.3,8.5,6.9,21.4,22.2,17.8,23.1,10.1,9.3,15.5,16.5,5.1,5,5.7,2.8,4.3,4.7,3.3,2.5,1.3,0.8,0.8,0
"South Dakota",430868,347078,36117,3455,6.6,4.6,4.6,0.4,7.3,7.4,11.6,1.3,10.4,10.6,13.6,6.6,2.9,3.1,2,0,10.5,11.4,8,13.6,4.6,4.9,2.1,0,8.5,9.2,8,4.3,6.5,6.1,7.7,5.3,24,23.9,25,51.5,9.5,9.2,10,13.7,4.4,4.5,2.9,3.1,4.4,4.6,4.1,0.3,0.5,0.6,0.4,0
"Tennessee",2954054,2478421,264633,24614,0.9,0.8,1.1,0.1,5.9,5.4,10.2,6,13,13.6,11.8,4.2,2.7,2.8,2.5,0.9,12.3,12.5,12,16.7,6.4,6.5,6.2,4.1,7.5,7.5,5.2,3.1,9.9,9.2,9.9,11.2,22.2,23,20,17.4,9.5,8.8,12.6,27.8,5.1,5,5.4,6.8,4,4.2,2.9,1.8,0.6,0.7,0.4,0
"Texas",12556719,10145748,1276953,189234,3.4,3.4,3.6,2.2,8.1,7.4,14.5,5,8.7,9,8.4,5.6,3,3.1,2.4,2.2,11.6,11.8,11.7,12.4,5.7,5.9,4,5.8,8.3,8.4,5.3,6.8,11.3,10.6,10,14.6,20.9,21.6,19.5,19.7,9.1,8.5,11.8,17.8,5.1,5.1,5.3,3.9,4.1,4.4,3,3.7,0.8,0.7,0.5,0.2
"Utah",1394977,1057690,156502,37327,2,1.8,3.4,1.3,6.7,6.7,10.6,2.1,11.4,11.8,12.8,5.6,2.8,3,3.2,0.9,12.3,12.9,10.8,7.3,4.4,4.7,3.2,3.6,9,8.9,6.7,12.4,11.8,10.9,11.5,15.4,20.6,20.9,17.6,27,9.1,8.1,12.5,16.9,4.5,4.6,3.4,3.9,5.1,5.5,4.3,3.5,0.2,0.2,0.1,0.1
"Vermont",320350,246467,26263,4073,2.4,1.9,1.9,0,6.9,7.3,8,0,11.1,11.3,16.7,10.4,2.2,2.3,2,0,11.5,11.8,12.2,12.4,3.4,3.9,1.6,1.5,7.2,7.2,6.1,4.8,8.7,7.4,10.3,11.9,28.3,29.3,23.3,28.8,9.3,8.5,9.7,16.3,4.1,3.8,4.1,2.5,4.9,5.4,3.4,10.9,0.1,0,0.6,0.6
"Virginia",4116194,3190412,374422,194457,1,0.9,0.7,0.4,6.3,5.9,11.9,3.1,7,7.5,6.9,1.7,1.9,2,2.3,0.5,10.5,10.9,10.9,6.9,4,4.4,3.6,2.2,8.3,8.4,5.2,7.5,14.3,13.1,14.5,21.4,21.2,22.3,18.7,13.8,8.7,8.2,10.1,11.3,5.3,5.1,5.6,6.3,8.6,8.4,7.6,21.4,2.9,2.8,2,3.4
"Washington",3370945,2441853,330657,210545,2.6,2.3,5.6,0.6,6.4,6.8,9.5,2.1,10.2,11,11.4,5.9,2.9,3,2.3,1.5,11.6,12,9.6,12.2,5.3,5.8,4.4,3.8,7.6,7.3,5.5,9.9,12.4,10.4,12.5,21.9,20.9,21.5,19,20.8,9.2,8.8,10.1,12.1,4.7,4.6,4.4,2.6,5.1,5.2,4.8,6.3,1.3,1.3,0.8,0.4
"West Virginia",721699,597203,62754,7677,4.1,4.2,4.5,1.1,6.3,6,11.3,1,7.4,7.6,8.4,3.7,2.3,2.4,1.8,0.7,12.2,12.4,11.2,15.7,5.2,5.5,2.7,0.8,5.4,5.4,4.7,1.6,8,7.5,8.7,8.3,28.5,29.1,23.6,34.6,9.4,8.3,13.5,16.9,4.2,4.2,3.4,6.7,6.8,7.1,6.1,8.9,0.1,0.1,0.1,0
"Wisconsin",2912061,2365593,229662,55722,2.4,1.7,2.6,0.8,5.6,5.7,8.5,1.8,18.5,19.5,21,8.1,2.6,2.8,2,0.4,11.3,11.7,10.1,11.5,4.4,4.6,3.2,2.2,7.6,7.8,5.3,6,8.2,7.7,8.3,11.2,23,22.8,22.1,33.9,8.8,8,10.8,17.7,4.1,4,3.4,3.1,3.4,3.6,2.8,3.4,0.1,0.1,0,0
"Wyoming",289163,223552,28959,6353,12.8,10.5,16.4,46.6,7.3,6.9,11.8,0.8,4.1,4.2,4.6,8.4,1.8,2.1,0.6,1.4,11.6,13.2,7,5.5,5.8,6.3,3.7,0,5.2,5.5,6,2.4,6.3,6.1,4.4,0,22,22,22.6,18,11.2,10.8,12.3,13.7,4.6,4.5,4.6,1.1,6.4,7.1,4.7,2.1,0.8,0.8,1.4,0
